Point2D [x = 9.633100703733843, y = 75.13046680365292]
Point2D [x = 12.677438480440905, y = 75.98461940921437]
Point2D [x = 70.89326602832699, y = 70.87535414470946]
Point2D [x = 32.352986463692226, y = 67.38072377021791]
Point2D [x = 95.94754619344855, y = 42.82923163796999]
Point2D [x = 36.05110990691337, y = 70.62144312820905]
Point2D [x = 48.31251834170062, y = 51.75689862517427]
Point2D [x = 25.66451196223435, y = 21.87617428657593]
Point2D [x = 38.1504963315348, y = 64.45302064703418]
Point2D [x = 41.02098001291571, y = 61.587962625355885]
Point2D [x = 38.87458595021673, y = 1.9746615230284648]
Point2D [x = 23.565409106279134, y = 73.46949551401416]
Point2D [x = 2.950363927326738, y = 88.8060685739565]
Point2D [x = 69.28810192927611, y = 76.75174649222424]
Point2D [x = 81.52416734227657, y = 92.26542547354633]
Point2D [x = 53.9487746520244, y = 36.69512702935178]
Point2D [x = 66.43766785879032, y = 53.19901041878471]
Point2D [x = 65.42521988645677, y = 31.744726519343335]
Point2D [x = 98.14822183185412, y = 8.054379858834803]
Point2D [x = 33.2359366397252, y = 67.11266956984913]
